product_id,merchant_id,heritage_id,sku,product_name_zh,product_name_en,price_min_fen,price_max_fen,min_order_qty,recommended_max_qty,demo_max_order_qty,lead_time_days,dimensions_text,material_text,image_path,image_alt_zh,reference_source_url,image_license,recipient_tags,occasion_tags,style_tags,meaning_tags,supports_international_shipping,shipping_note,status,data_version,is_demo,demo_disclaimer
prod_demo_001,mer_demo_feiyi,heritage_demo_lacquer,HL-LAC-001,馆藏灵感·雕漆卷草纹盒,Heritage-Inspired Box with pommel scroll,98000,128000,1,20,50,21,方案规格约 14 × 14 × 6 厘米；参考图馆藏尺寸：H. 3.8 cm; Diam. 12.7 cm,方案材质：漆艺复合胎体与装饰漆层；参考图馆藏材质：Carved red and black lacquer,assets/catalog/products/met-39646.jpg,雕漆卷草纹盒产品参考图,https://www.metmuseum.org/art/collection/search/39646,CC0 1.0 / Public Domain,"[""business_partner"",""institution""]","[""business_gift"",""commemoration""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""prosperity""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_002,mer_demo_feiyi,heritage_demo_lacquer,HL-LAC-002,馆藏灵感·剔犀香盒,Heritage-Inspired Incense Box,68000,88000,1,30,80,14,方案规格约 10 × 10 × 5 厘米；参考图馆藏尺寸：H. 3.2 cm; Diam. 8.6 cm,方案材质：漆艺复合胎体与装饰漆层；参考图馆藏材质：Carved lacquer,assets/catalog/products/met-57780.jpg,剔犀香盒产品参考图,https://www.metmuseum.org/art/collection/search/57780,CC0 1.0 / Public Domain,"[""elder"",""business_partner""]","[""birthday"",""business_gift""]","[""traditional"",""elegant""]","[""blessing"",""longevity"",""harmony""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_003,mer_demo_feiyi,heritage_demo_lacquer,HL-LAC-003,馆藏灵感·雕漆山茶花纹盒,Heritage-Inspired Box with camellia,45000,65000,2,50,120,12,方案规格约 12 × 12 × 5 厘米；参考图馆藏尺寸：H. 3.5 cm; Diam. 10.2 cm,方案材质：漆艺复合胎体与装饰漆层；参考图馆藏材质：Carved red and green lacquer,assets/catalog/products/met-60910.jpg,雕漆山茶花纹盒产品参考图,https://www.metmuseum.org/art/collection/search/60910,CC0 1.0 / Public Domain,"[""friend"",""business_partner""]","[""business_gift"",""housewarming""]","[""modern"",""minimal""]","[""resilience"",""blessing""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_004,mer_demo_feiyi,heritage_demo_lacquer,HL-LAC-004,馆藏灵感·漆绘花鸟提篮盒,Heritage-Inspired Box with gardenia plum blossoms and finches,76000,98000,1,20,60,18,方案规格约 32 × 22 × 12 厘米；参考图馆藏尺寸：H. 11.4 cm; W. 46.7 cm; D. 30.5 cm,方案材质：漆艺复合胎体与装饰漆层；参考图馆藏材质：Black lacquer painted with lacquer and oil-based pigments; basketry panels,assets/catalog/products/met-40266.jpg,漆绘花鸟提篮盒产品参考图,https://www.metmuseum.org/art/collection/search/40266,CC0 1.0 / Public Domain,"[""newlywed"",""family""]","[""wedding"",""anniversary""]","[""traditional"",""festive"",""elegant""]","[""harmony"",""blessing"",""union""]",false,当前方案仅支持境内交付评估；国际运输需另行确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_005,mer_demo_feiyi,heritage_demo_lacquer,HL-LAC-005,馆藏灵感·雕漆庭院人物盘,Heritage-Inspired Tray with women and boys on a garden terrace,58000,78000,1,40,100,15,方案规格直径约 30 厘米；参考图馆藏尺寸：H. 6 cm; Diam. 55.6 cm,方案材质：漆艺复合胎体与装饰漆层；参考图馆藏材质：Carved red lacquer,assets/catalog/products/met-40215.jpg,雕漆庭院人物盘产品参考图,https://www.metmuseum.org/art/collection/search/40215,CC0 1.0 / Public Domain,"[""family"",""friend""]","[""housewarming"",""festival""]","[""traditional"",""warm"",""elegant""]","[""blessing"",""harmony"",""prosperity""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_006,mer_demo_feiyi,heritage_demo_longquan,HL-CEL-006,馆藏灵感·龙泉青瓷莲纹大盘,Heritage-Inspired Plate with Lotus,28000,38000,5,100,300,10,方案规格直径约 22 厘米；参考图馆藏尺寸：Diam. 41.6 cm,方案材质：陶瓷胎与青釉；参考图馆藏材质：Porcelain with incised decoration under celadon glaze,assets/catalog/products/met-50716.jpg,龙泉青瓷莲纹大盘产品参考图,https://www.metmuseum.org/art/collection/search/50716,CC0 1.0 / Public Domain,"[""employee"",""teacher"",""business_partner""]","[""business_gift"",""graduation"",""appreciation""]","[""modern"",""minimal""]","[""heritage"",""gratitude""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_007,mer_demo_feiyi,heritage_demo_longquan,HL-CEL-007,馆藏灵感·龙泉青瓷莲纹笔洗,Heritage-Inspired Brush washer with lotus,188000,258000,1,5,10,35,方案规格约 16 × 16 × 6 厘米；参考图馆藏尺寸：H. 3.8 cm; Diam. 13.3 cm,方案材质：陶瓷胎与青釉；参考图馆藏材质：Stoneware with incised decoration under a celadon glaze,assets/catalog/products/met-52074.jpg,龙泉青瓷莲纹笔洗产品参考图,https://www.metmuseum.org/art/collection/search/52074,CC0 1.0 / Public Domain,"[""collector"",""institution""]","[""collection"",""exhibition""]","[""traditional"",""grand""]","[""heritage"",""remembrance""]",false,当前方案仅支持境内交付评估；国际运输需另行确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_008,mer_demo_feiyi,heritage_demo_longquan,HL-CEL-008,馆藏灵感·龙泉青瓷茶碗,Heritage-Inspired Tea bowl,88000,118000,3,30,80,20,方案规格约 12 × 12 × 8 厘米；参考图馆藏尺寸：H. 4.8 cm; Diam. 12.7 cm,方案材质：陶瓷胎与青釉；参考图馆藏材质：Stoneware with celadon glaze and gold lacquer repairs,assets/catalog/products/met-48373.jpg,龙泉青瓷茶碗产品参考图,https://www.metmuseum.org/art/collection/search/48373,CC0 1.0 / Public Domain,"[""institution"",""business_partner""]","[""commemoration"",""business_gift""]","[""modern"",""elegant""]","[""remembrance"",""heritage"",""gratitude""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_009,mer_demo_feiyi,heritage_demo_longquan,HL-CEL-009,馆藏灵感·龙泉青瓷琮式瓶,Heritage-Inspired Quadrangular vase in the shape of a Neolithic cong,128000,168000,1,15,30,28,方案规格高约 26 厘米；参考图馆藏尺寸：H. 26.4 cm; W. 10.2 cm; D. 10.2 cm,方案材质：陶瓷胎与青釉；参考图馆藏材质：Stoneware with celadon glaze,assets/catalog/products/met-73676.jpg,龙泉青瓷琮式瓶产品参考图,https://www.metmuseum.org/art/collection/search/73676,CC0 1.0 / Public Domain,"[""institution"",""collector""]","[""commemoration"",""collection""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""remembrance""]",false,当前方案仅支持境内交付评估；国际运输需另行确认。,active,2026-07-17.2,true,MVP演示数据
prod_demo_010,mer_demo_feiyi,heritage_demo_longquan,HL-CEL-010,馆藏灵感·龙泉青瓷牡丹纹盘,Heritage-Inspired Dish with Peonies,48000,68000,2,40,80,16,方案规格直径约 28 厘米；参考图馆藏尺寸：H. 8.9 cm; Diam. 50.8 cm; foot Diam. 27.9 cm,方案材质：陶瓷胎与青釉；参考图馆藏材质：Stoneware with incised decoration under celadon glaze,assets/catalog/products/met-42514.jpg,龙泉青瓷牡丹纹盘产品参考图,https://www.metmuseum.org/art/collection/search/42514,CC0 1.0 / Public Domain,"[""family"",""friend"",""newlywed""]","[""housewarming"",""wedding"",""festival""]","[""traditional"",""elegant"",""warm""]","[""harmony"",""blessing"",""union""]",true,支持国际运输方案评估；包装、费用与合规要求由商家确认。,active,2026-07-17.2,true,MVP演示数据
